id,nome_usuario,titulo_midia,tipo_midia,estrelas,comentario,deleted
1,Arthur Martins,Naruto,Anime,5,Sensacional!,False
2,Mariah das Neves,Fullmetal Alchemist: Brotherhood,Anime,4,"Quase perfeito, vale muito a pena.",False
3,João Miguel Caldeira,The Office,Série,3,Divertido para passar o tempo.,False
4,Carolina das Neves,O Clone,Novela,4,Surpreendeu positivamente.,False
5,Sophie Macedo,Senhora do Destino,Novela,5,Sensacional!,False
6,José Miguel Jesus,O Clone,Novela,5,Sensacional!,False
7,Srta. Emanuella da Rosa,Stranger Things,Série,4,"Quase perfeito, vale muito a pena.",False
8,Caroline Dias,A Viagem de Chihiro,Filme,5,Top 10 da minha vida.,False
9,Pedro Miguel Borges,Pulp Fiction,Filme,5,Top 10 da minha vida.,False
10,Sr. Asafe Montenegro,A Viagem de Chihiro,Filme,2,"Esperava bem mais, foi uma decepção.",False
11,Henry Nunes,Breaking Bad,Série,3,Tem seus altos e baixos.,False
12,Sophie Rios,Pulp Fiction,Filme,2,Não gostei muito.,False
13,Théo Aparecida,Naruto,Anime,5,Perfeito! Uma obra-prima.,False
14,Francisco Nunes,Jujutsu Kaisen,Anime,4,Ótima história e personagens.,False
15,Mariane Marques,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
16,Felipe Pires,The Office,Série,2,Não gostei muito.,False
17,Kaique Albuquerque,Jujutsu Kaisen,Anime,2,Achei a premissa fraca.,False
18,Fernando Brito,Matrix,Filme,3,Divertido para passar o tempo.,False
19,Léo da Cunha,The Office,Série,4,"Muito bom, gostei bastante.",False
20,Bruno Borges,Attack on Titan,Anime,3,Divertido para passar o tempo.,False
21,Heloisa Cassiano,Interestelar,Filme,1,Não recomendo de jeito nenhum.,False
22,Sra. Eloá Mendonça,Naruto,Anime,5,Sensacional!,False
23,Vitória Fogaça,Interestelar,Filme,5,Recomendo para todo mundo!,False
24,Catarina Costa,Demon Slayer,Anime,1,"Terrível, um dos piores que já vi.",False
25,Benício Nascimento,Parasita,Filme,5,Sensacional!,False
26,Allana Ribeiro,Stranger Things,Série,5,Perfeito! Uma obra-prima.,False
27,Cecília Silveira,Parasita,Filme,3,"É ok, mas não me marcou.",False
28,Theodoro Macedo,Death Note,Anime,2,"Esperava bem mais, foi uma decepção.",False
29,Maria Vitória Pereira,A Origem,Filme,1,Muito ruim.,False
30,Dra. Bella Araújo,Interestelar,Filme,2,Não gostei muito.,False
31,Thales Correia,Demon Slayer,Anime,2,"Esperava bem mais, foi uma decepção.",False
32,Luísa Cavalcante,Breaking Bad,Série,3,Tem seus altos e baixos.,False
33,Dr. Davi Miguel Aragão,Matrix,Filme,5,Top 10 da minha vida.,False
34,Maitê Melo,Death Note,Anime,4,Ótima história e personagens.,False
35,Gabriela da Costa,The Office,Série,3,"É ok, mas não me marcou.",False
36,Dra. Maysa Alves,Attack on Titan,Anime,4,Ótima história e personagens.,False
